timestamp,g107_no2,g107_03,g107_pm25,g125_no2,g125_o3,g125_pm25,g131_no2,g131_o3,g131_pm25,timestamp_text,anfangszeit
2022-03-19T07:30:00+00:00,30.0,33.3,69.3,27.9,20.5,65.3,24.1,25.3,69.1,2022-03-19T08:30:00+0100,19.03.2022 08:30:00
2022-03-19T11:00:00+00:00,3.4,78.2,52.5,1.1,69.0,48.4,4.4,65.4,52.1,2022-03-19T12:00:00+0100,19.03.2022 12:00:00
2022-03-20T12:30:00+00:00,1.7,101.9,21.0,3.1,89.8,19.9,3.6,89.0,20.2,2022-03-20T13:30:00+0100,20.03.2022 13:30:00
2022-03-23T03:30:00+00:00,28.3,24.5,21.9,28.3,9.2,20.4,19.9,20.9,21.5,2022-03-23T04:30:00+0100,23.03.2022 04:30:00
2022-03-22T19:30:00+00:00,37.1,42.3,15.7,38.8,22.5,15.3,38.4,27.7,16.7,2022-03-22T20:30:00+0100,22.03.2022 20:30:00
2022-03-23T06:00:00+00:00,50.9,20.3,22.9,56.6,43.7,21.3,51.8,43.9,23.3,2022-03-23T07:00:00+0100,23.03.2022 07:00:00
2022-03-23T07:00:00+00:00,61.8,53.9,22.0,65.2,44.3,22.1,60.2,42.1,22.4,2022-03-23T08:00:00+0100,23.03.2022 08:00:00
2022-03-23T13:00:00+00:00,9.4,99.7,25.2,12.0,91.8,23.9,21.2,85.6,26.1,2022-03-23T14:00:00+0100,23.03.2022 14:00:00
2022-03-24T07:00:00+00:00,61.4,12.2,36.9,66.4,52.5,33.9,68.1,57.1,36.2,2022-03-24T08:00:00+0100,24.03.2022 08:00:00
2022-02-21T12:00:00+00:00,17.4,81.4,4.8,11.5,78.2,4.5,15.9,74.8,4.4,2022-02-21T13:00:00+0100,21.02.2022 13:00:00
2022-02-17T09:30:00+00:00,18.4,82.2,3.0,8.0,81.4,2.8,17.4,73.4,3.0,2022-02-17T10:30:00+0100,17.02.2022 10:30:00
2022-02-16T20:00:00+00:00,2.1,78.0,0.5,0.0,71.4,0.3,0.8,72.4,0.3,2022-02-16T21:00:00+0100,16.02.2022 21:00:00
2022-02-13T08:00:00+00:00,20.5,35.3,22.1,18.2,20.7,20.4,18.9,23.7,21.3,2022-02-13T09:00:00+0100,13.02.2022 09:00:00
2022-02-08T05:30:00+00:00,42.5,15.4,4.4,42.5,30.3,4.1,57.2,43.3,4.9,2022-02-08T06:30:00+0100,08.02.2022 06:30:00
2022-02-06T08:00:00+00:00,1.7,71.0,2.0,0.0,61.6,2.0,1.5,64.4,2.1,2022-02-06T09:00:00+0100,06.02.2022 09:00:00
2022-02-06T19:00:00+00:00,6.3,88.8,0.4,0.0,86.0,0.3,4.4,82.8,0.4,2022-02-06T20:00:00+0100,06.02.2022 20:00:00
2022-02-05T15:00:00+00:00,10.5,79.4,2.7,5.2,73.6,3.0,12.4,67.4,3.0,2022-02-05T16:00:00+0100,05.02.2022 16:00:00
2022-01-31T00:30:00+00:00,4.8,46.7,6.9,0.8,34.3,6.5,4.2,34.9,6.6,2022-01-31T01:30:00+0100,31.01.2022 01:30:00
2022-01-26T07:00:00+00:00,14.3,23.3,49.7,20.1,8.6,45.9,21.8,10.2,49.4,2022-01-26T08:00:00+0100,26.01.2022 08:00:00
2022-01-26T10:00:00+00:00,20.1,24.9,45.4,23.5,11.2,41.5,26.4,11.6,45.0,2022-01-26T11:00:00+0100,26.01.2022 11:00:00
2022-01-26T20:00:00+00:00,0.6,37.7,35.2,1.1,20.9,32.4,1.1,26.1,38.0,2022-01-26T21:00:00+0100,26.01.2022 21:00:00
2022-01-25T19:00:00+00:00,22.9,20.7,43.0,26.8,20.1,40.4,29.8,12.4,44.9,2022-01-25T20:00:00+0100,25.01.2022 20:00:00
2022-01-25T05:30:00+00:00,7.6,33.3,45.9,8.4,13.4,41.5,13.0,15.0,44.8,2022-01-25T06:30:00+0100,25.01.2022 06:30:00
2022-01-25T10:00:00+00:00,2.1,40.5,49.6,1.3,23.7,45.2,8.4,22.7,51.4,2022-01-25T11:00:00+0100,25.01.2022 11:00:00
2022-01-28T14:30:00+00:00,6.3,54.1,17.8,5.7,38.9,15.6,8.8,38.1,17.0,2022-01-28T15:30:00+0100,28.01.2022 15:30:00
2022-01-29T05:00:00+00:00,2.3,24.1,26.2,1.5,6.2,24.0,2.1,9.6,26.9,2022-01-29T06:00:00+0100,29.01.2022 06:00:00
2022-01-29T04:00:00+00:00,6.1,23.5,27.3,7.5,5.0,26.0,6.7,7.0,28.7,2022-01-29T05:00:00+0100,29.01.2022 05:00:00
2022-01-30T20:30:00+00:00,3.1,48.5,7.5,1.0,35.5,7.6,5.7,32.3,7.5,2022-01-30T21:30:00+0100,30.01.2022 21:30:00
2022-01-31T19:00:00+00:00,5.7,72.8,3.3,0.4,66.6,3.1,5.9,63.2,3.3,2022-01-31T20:00:00+0100,31.01.2022 20:00:00
