obj_id,timestamp,wert,parameter,einheit,verantwortlichkeit_organisation,messgruppierung_ortsbezeichnung
27600042,2025-06-13T23:00:00+00:00,18.42,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Kemmenbach Gruebmuehle
27600042,2025-06-14T23:00:00+00:00,18.64,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Kemmenbach Gruebmuehle
27600042,2025-06-15T23:00:00+00:00,17.68,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Kemmenbach Gruebmuehle
27600042,2025-06-21T23:00:00+00:00,18.76,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Kemmenbach Gruebmuehle
27600042,2025-06-22T23:00:00+00:00,19.43,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Kemmenbach Gruebmuehle
27600042,2025-06-25T23:00:00+00:00,19.44,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Kemmenbach Gruebmuehle
27600042,2025-06-26T23:00:00+00:00,18.83,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Kemmenbach Gruebmuehle
27600042,2025-06-30T23:00:00+00:00,20.99,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Kemmenbach Gruebmuehle
27600042,2025-07-02T23:00:00+00:00,21.44,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Kemmenbach Gruebmuehle
27600042,2025-07-05T23:00:00+00:00,19.36,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Kemmenbach Gruebmuehle
27600042,2025-07-06T23:00:00+00:00,17.63,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Kemmenbach Gruebmuehle
27600042,2025-07-08T23:00:00+00:00,15.26,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Kemmenbach Gruebmuehle
27600042,2025-07-09T23:00:00+00:00,16.07,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Kemmenbach Gruebmuehle
27600042,2025-07-10T23:00:00+00:00,17.03,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Kemmenbach Gruebmuehle
27600042,2025-07-11T23:00:00+00:00,17.43,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Kemmenbach Gruebmuehle
27600042,2025-07-21T23:00:00+00:00,16.51,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Kemmenbach Gruebmuehle
27600042,2025-07-23T23:00:00+00:00,17.39,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Kemmenbach Gruebmuehle
27600042,2025-07-25T23:00:00+00:00,16.66,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Kemmenbach Gruebmuehle
