timestamp,a2hard_no2,a2hard_o3,a2hard_pm25,feldbergstr2_no2,feldbergstr2_o3,feldbergstr2_pm25,stjohann2_no2,stjohann2_o3,stjohann2_pm25,timestamp_text,anfangszeit
2022-05-04T01:00:00+00:00,2.3,48.3,6.6,1.1,55.5,8.1,10.1,49.9,7.8,2022-05-04T03:00:00+0200,04.05.2022 03:00:00
2022-05-04T06:00:00+00:00,50.1,25.3,14.3,45.3,29.3,11.9,32.3,14.6,11.0,2022-05-04T08:00:00+0200,04.05.2022 08:00:00
2022-05-04T14:30:00+00:00,29.3,72.0,4.0,30.8,75.8,5.1,14.0,85.6,4.3,2022-05-04T16:30:00+0200,04.05.2022 16:30:00
2022-05-04T21:30:00+00:00,2.1,31.7,8.7,10.7,57.9,7.9,19.1,45.5,6.6,2022-05-04T23:30:00+0200,04.05.2022 23:30:00
2022-05-04T23:00:00+00:00,13.4,14.6,10.8,0.0,61.4,7.9,13.6,43.1,7.0,2022-05-05T01:00:00+0200,05.05.2022 01:00:00
2022-05-01T07:30:00+00:00,6.7,47.5,26.3,9.2,31.7,27.5,6.9,29.1,27.8,2022-05-01T09:30:00+0200,01.05.2022 09:30:00
2022-05-01T10:30:00+00:00,44.4,48.5,18.5,7.8,62.8,20.3,0.2,72.0,18.3,2022-05-01T12:30:00+0200,01.05.2022 12:30:00
2022-05-01T11:30:00+00:00,33.8,64.8,15.3,4.8,82.8,14.7,1.1,90.4,13.9,2022-05-01T13:30:00+0200,01.05.2022 13:30:00
2022-05-02T04:30:00+00:00,12.2,15.6,12.9,41.3,27.3,13.4,52.8,34.1,13.4,2022-05-02T06:30:00+0200,02.05.2022 06:30:00
2022-05-02T06:00:00+00:00,37.3,20.5,14.4,92.7,57.3,18.5,52.0,37.1,16.1,2022-05-02T08:00:00+0200,02.05.2022 08:00:00
2022-05-05T13:30:00+00:00,81.5,56.3,19.2,68.5,41.5,21.7,15.3,43.7,16.9,2022-05-05T15:30:00+0200,05.05.2022 15:30:00
2022-05-05T17:30:00+00:00,69.8,43.9,22.8,60.8,37.5,30.5,13.8,41.1,23.8,2022-05-05T19:30:00+0200,05.05.2022 19:30:00
