date,kategorie,pax,fret,mvt
2019-04-12,Andere Kategorien,12,0.0,79
2019-04-11,Fracht Express,0,221.005,22
2019-04-11,Fracht Cargo,0,,
2019-04-11,Andere Kategorien,12,0.0,31
2019-04-10,Passagierverkehr,24280,1.534,212
2019-04-09,Fracht Cargo,0,,
2019-04-09,Andere Kategorien,1,0.0,25
2019-04-08,Passagierverkehr,26918,0.357,220
2019-04-07,Fracht Cargo,0,22.894,2
2019-04-06,Fracht Cargo,0,88.275,4
2019-04-06,Andere Kategorien,4,0.0,44
2019-04-05,Passagierverkehr,28343,0.115,236
2019-04-05,Fracht Express,0,157.063,14
2019-04-03,Fracht Express,0,214.423,20
2019-04-01,Passagierverkehr,23891,0.0,222
2019-04-01,Andere Kategorien,19,0.0,46
2019-03-31,Passagierverkehr,29218,1.289,230
2019-03-31,Andere Kategorien,0,0.0,63
2019-03-30,Fracht Cargo,0,96.847,4
2019-03-30,Andere Kategorien,2,0.0,73
2019-03-29,Passagierverkehr,25976,1.766,222
2019-03-27,Andere Kategorien,27,0.0,55
2019-03-26,Fracht Express,0,192.898,19
2019-03-25,Fracht Express,0,171.945,13
2019-03-25,Fracht Cargo,0,35.789,2
2019-03-24,Fracht Express,0,,
2019-03-24,Fracht Cargo,0,71.996,4
2019-03-24,Andere Kategorien,4,0.0,93
2019-03-23,Passagierverkehr,20585,2.24,176
2019-03-23,Fracht Express,0,41.207,4
2019-03-22,Passagierverkehr,25655,3.129,220
2019-03-22,Fracht Cargo,0,48.534,2
2019-03-22,Andere Kategorien,15,0.0,123
2019-03-21,Passagierverkehr,20696,2.953,202
2019-03-20,Fracht Cargo,0,35.042,2
2019-03-19,Passagierverkehr,18359,2.798,176
2019-03-19,Fracht Express,0,196.517,18
2019-03-18,Fracht Cargo,0,53.791,2
2019-03-18,Andere Kategorien,13,0.0,65
2019-03-17,Passagierverkehr,25253,0.922,195
2019-03-17,Fracht Cargo,0,85.424,4
2019-03-17,Andere Kategorien,13,0.0,31
2019-03-15,Fracht Cargo,0,7.202,1
2019-03-14,Passagierverkehr,20658,2.663,188
2019-03-14,Fracht Express,0,223.861,21
2019-03-13,Passagierverkehr,16772,0.781,160
2019-03-13,Andere Kategorien,7,0.0,13
2019-03-12,Fracht Express,0,189.176,20
2019-03-11,Fracht Express,0,201.978,13
2019-03-11,Fracht Cargo,0,45.092,2
2019-03-09,Passagierverkehr,20104,1.283,159
2019-03-08,Fracht Cargo,0,55.604,2
2019-03-08,Andere Kategorien,8,0.0,53
2019-03-06,Fracht Express,0,193.146,18
2019-03-05,Fracht Express,0,187.662,20
2019-03-05,Andere Kategorien,21,0.0,58
2019-03-02,Fracht Cargo,0,71.836,4
2019-03-01,Andere Kategorien,9,0.0,11
2019-02-28,Fracht Express,0,219.712,20
2019-02-28,Fracht Cargo,0,,
2019-02-28,Andere Kategorien,23,0.0,36
2019-02-27,Fracht Express,0,214.126,20
2019-02-26,Passagierverkehr,17348,3.283,167
2019-02-26,Fracht Express,0,187.41,20
2019-02-26,Fracht Cargo,0,,
2019-02-25,Fracht Express,0,171.798,13
2019-02-25,Andere Kategorien,0,0.0,60
2019-02-23,Fracht Cargo,0,89.024,4
2019-02-23,Andere Kategorien,3,0.0,43
2019-02-22,Fracht Express,0,159.119,14
2019-02-20,Passagierverkehr,16843,0.906,158
2019-02-20,Fracht Express,0,199.39,20
2019-02-19,Fracht Cargo,0,,
2019-02-17,Fracht Cargo,0,80.16,4
2019-02-16,Passagierverkehr,20286,2.144,175
2019-02-16,Andere Kategorien,2,0.0,94
2019-02-15,Passagierverkehr,24546,1.163,207
2019-02-15,Fracht Express,0,154.093,13
2019-02-15,Andere Kategorien,26,0.0,87
2019-02-14,Fracht Cargo,0,,
2019-02-13,Passagierverkehr,16171,1.18,167
2019-02-11,Andere Kategorien,4,0.0,14
2019-02-10,Passagierverkehr,21466,0.04,166
2019-02-10,Fracht Express,0,,
2019-02-10,Andere Kategorien,4,0.0,7
2019-02-09,Fracht Express,0,41.317,4
2019-02-08,Passagierverkehr,23354,2.287,203
2019-02-07,Passagierverkehr,18053,3.112,169
2019-02-05,Fracht Express,0,142.032,12
2019-02-04,Andere Kategorien,8,0.0,44
2019-02-03,Andere Kategorien,8,0.0,9
2019-02-02,Fracht Cargo,0,96.195,4
2019-02-02,Andere Kategorien,6,0.0,61
2019-02-01,Passagierverkehr,21549,1.715,188
2019-02-01,Andere Kategorien,5,0.0,37
2019-01-31,Passagierverkehr,14205,0.635,143
2019-01-31,Andere Kategorien,14,0.0,26
2019-01-30,Passagierverkehr,11134,0.868,125
2019-01-29,Passagierverkehr,11622,0.761,129
2019-01-29,Fracht Express,0,204.516,20
2019-01-26,Andere Kategorien,1,0.0,15
2019-01-24,Passagierverkehr,12470,2.279,131
2019-01-24,Fracht Cargo,0,,
2019-01-22,Passagierverkehr,11133,0.427,136
2019-01-22,Fracht Cargo,0,4.787,2
2019-01-21,Passagierverkehr,12864,1.095,133
2019-01-21,Andere Kategorien,5,0.0,18
2019-01-20,Fracht Cargo,0,98.715,4
2019-01-19,Fracht Express,0,40.409,4
2019-01-18,Fracht Cargo,0,36.758,2
2019-01-17,Passagierverkehr,12316,1.059,136
2019-01-17,Fracht Express,0,226.731,21
2019-01-16,Fracht Express,0,213.839,19
2019-01-15,Fracht Express,0,215.225,20
2019-01-13,Passagierverkehr,20277,0.319,189
2019-01-12,Fracht Express,0,31.289,4
2019-01-12,Andere Kategorien,8,0.0,18
2019-01-11,Passagierverkehr,17446,1.817,169
2019-01-11,Andere Kategorien,0,0.0,62
2019-01-10,Fracht Express,0,207.938,20
2019-01-10,Andere Kategorien,4,0.0,21
2019-01-08,Passagierverkehr,13279,1.136,138
2019-01-07,Passagierverkehr,17815,0.667,177
2019-01-07,Fracht Express,0,151.791,13
2019-01-07,Fracht Cargo,0,,
2019-01-06,Fracht Express,0,,
2019-01-06,Fracht Cargo,0,,
2019-01-04,Passagierverkehr,25656,0.556,204
2019-01-04,Andere Kategorien,3,0.0,77
2019-01-03,Passagierverkehr,24464,0.34,191
2019-01-03,Fracht Express,0,129.936,19
2019-01-02,Fracht Express,0,86.768,12
2019-01-01,Passagierverkehr,20812,0.168,167
2019-01-01,Andere Kategorien,0,0.0,6
2021-11-30,Fracht Cargo,0,,
2021-11-29,Passagierverkehr,10732,0.575,117
2021-11-29,Andere Kategorien,0,,36
2021-11-28,Fracht Cargo,0,67.022,4
2021-11-27,Andere Kategorien,6,,13
2021-11-26,Passagierverkehr,14991,1.015,138
2021-11-26,Fracht Express,0,175.728,13
2021-11-25,Passagierverkehr,7438,1.611,90
2021-11-25,Fracht Express,0,234.637,18
2021-11-24,Fracht Express,0,257.194,18
2021-11-23,Passagierverkehr,7365,0.819,81
2021-11-23,Andere Kategorien,3,,83
2021-11-22,Fracht Express,0,190.543,15
2021-11-22,Fracht Cargo,0,93.206,2
2021-11-20,Fracht Express,0,68.257,6
2021-11-19,Passagierverkehr,15342,0.386,144
2021-11-19,Andere Kategorien,3,,20
2021-11-16,Andere Kategorien,3,,20
2021-11-15,Passagierverkehr,11385,0.864,116
2021-11-14,Passagierverkehr,17195,0.299,151
2021-11-14,Fracht Cargo,0,,
2021-11-14,Andere Kategorien,8,,15
2021-11-12,Passagierverkehr,15876,0.322,142
2021-11-11,Fracht Cargo,0,,
2021-11-10,Fracht Express,0,198.616,20
2021-11-10,Fracht Cargo,0,114.052,6
2021-11-06,Fracht Cargo,0,130.054,4
2021-11-05,Passagierverkehr,17732,2.52,155
2021-11-04,Fracht Express,0,227.483,18
2021-11-03,Fracht Cargo,0,95.987,6
2021-11-03,Andere Kategorien,6,,39
2021-11-02,Passagierverkehr,13628,0.402,123
2021-11-02,Andere Kategorien,15,,39
2021-10-31,Andere Kategorien,10,,51
2021-10-30,Fracht Express,0,60.192,5
2021-10-29,Fracht Express,0,168.115,12
2021-10-28,Passagierverkehr,16127,0.662,140
2021-10-28,Fracht Cargo,0,,
2021-10-28,Andere Kategorien,1,,76
2021-10-27,Fracht Cargo,0,124.847,6
2021-10-26,Passagierverkehr,11526,1.387,110
2021-10-26,Fracht Cargo,0,,
2021-10-25,Fracht Express,0,206.214,16
2021-10-25,Fracht Cargo,0,68.527,2
2021-10-24,Passagierverkehr,23207,0.525,179
2021-10-24,Fracht Express,0,,
2021-10-23,Passagierverkehr,20638,0.917,157
2021-10-23,Fracht Express,0,61.306,6
2021-10-23,Andere Kategorien,3,,89
2021-10-19,Passagierverkehr,11558,1.642,119
2021-10-19,Fracht Express,0,213.218,18
2021-10-18,Andere Kategorien,16,,73
2021-10-17,Fracht Cargo,0,32.434,2
2021-10-16,Passagierverkehr,21140,1.633,168
2021-10-16,Fracht Express,0,65.047,6
2021-10-15,Passagierverkehr,24117,0.728,189
