anfangszeit,pm25,zeitstempel_text
2021-04-11T05:30:00+00:00,3.7,11.04.2021 07:30:00
2021-04-11T16:00:00+00:00,0.9,11.04.2021 18:00:00
2021-04-11T19:00:00+00:00,1.0,11.04.2021 21:00:00
2021-04-11T19:30:00+00:00,0.9,11.04.2021 21:30:00
2021-04-11T22:00:00+00:00,0.9,12.04.2021 00:00:00
2021-04-12T06:30:00+00:00,3.4,12.04.2021 08:30:00
2021-04-12T09:00:00+00:00,10.6,12.04.2021 11:00:00
2021-04-12T15:00:00+00:00,5.7,12.04.2021 17:00:00
2021-04-13T12:00:00+00:00,6.7,13.04.2021 14:00:00
2021-04-13T23:00:00+00:00,10.4,14.04.2021 01:00:00
2021-04-14T02:30:00+00:00,12.0,14.04.2021 04:30:00
2021-04-14T06:00:00+00:00,15.2,14.04.2021 08:00:00
2021-04-14T09:00:00+00:00,9.8,14.04.2021 11:00:00
2021-04-14T15:30:00+00:00,2.9,14.04.2021 17:30:00
2021-04-14T22:00:00+00:00,7.9,15.04.2021 00:00:00
2021-04-15T00:30:00+00:00,8.1,15.04.2021 02:30:00
2021-04-15T03:00:00+00:00,13.4,15.04.2021 05:00:00
2021-04-15T06:30:00+00:00,16.3,15.04.2021 08:30:00
2021-04-15T11:00:00+00:00,9.3,15.04.2021 13:00:00
2021-04-15T12:00:00+00:00,8.3,15.04.2021 14:00:00
2021-04-16T00:30:00+00:00,7.1,16.04.2021 02:30:00
2021-04-16T03:00:00+00:00,8.3,16.04.2021 05:00:00
2021-04-16T15:00:00+00:00,4.3,16.04.2021 17:00:00
2021-04-16T20:00:00+00:00,6.9,16.04.2021 22:00:00
2021-04-16T22:30:00+00:00,8.2,17.04.2021 00:30:00
2021-04-17T04:30:00+00:00,10.8,17.04.2021 06:30:00
2021-04-17T15:00:00+00:00,6.2,17.04.2021 17:00:00
2021-04-17T18:30:00+00:00,7.4,17.04.2021 20:30:00
2021-04-17T19:30:00+00:00,7.3,17.04.2021 21:30:00
2021-04-18T00:00:00+00:00,8.2,18.04.2021 02:00:00
2021-04-18T16:30:00+00:00,7.7,18.04.2021 18:30:00
2021-04-18T19:00:00+00:00,7.4,18.04.2021 21:00:00
2021-04-18T23:30:00+00:00,10.6,19.04.2021 01:30:00
2021-04-19T00:00:00+00:00,11.2,19.04.2021 02:00:00
2021-04-19T01:00:00+00:00,11.6,19.04.2021 03:00:00
2021-04-19T03:30:00+00:00,12.6,19.04.2021 05:30:00
2021-04-19T09:30:00+00:00,11.7,19.04.2021 11:30:00
2021-04-19T21:00:00+00:00,24.0,19.04.2021 23:00:00
2021-04-19T22:30:00+00:00,25.8,20.04.2021 00:30:00
2021-04-20T02:00:00+00:00,22.1,20.04.2021 04:00:00
2021-04-20T03:00:00+00:00,23.7,20.04.2021 05:00:00
2021-04-20T09:00:00+00:00,20.3,20.04.2021 11:00:00
2021-04-20T12:30:00+00:00,10.2,20.04.2021 14:30:00
2021-04-20T15:00:00+00:00,6.4,20.04.2021 17:00:00
2021-04-20T15:30:00+00:00,6.2,20.04.2021 17:30:00
2021-04-20T19:30:00+00:00,5.9,20.04.2021 21:30:00
2021-04-20T20:30:00+00:00,8.3,20.04.2021 22:30:00
2021-04-20T21:30:00+00:00,8.9,20.04.2021 23:30:00
2021-04-20T23:00:00+00:00,8.6,21.04.2021 01:00:00
2021-04-21T10:30:00+00:00,11.2,21.04.2021 12:30:00
2021-04-21T12:00:00+00:00,7.4,21.04.2021 14:00:00
2021-04-21T13:30:00+00:00,4.9,21.04.2021 15:30:00
2021-04-21T22:00:00+00:00,4.9,22.04.2021 00:00:00
2021-04-21T23:00:00+00:00,6.2,22.04.2021 01:00:00
2021-04-21T23:30:00+00:00,6.2,22.04.2021 01:30:00
2021-04-22T03:00:00+00:00,7.6,22.04.2021 05:00:00
2021-04-22T06:00:00+00:00,9.4,22.04.2021 08:00:00
2021-04-22T06:30:00+00:00,9.0,22.04.2021 08:30:00
2021-04-22T18:00:00+00:00,7.7,22.04.2021 20:00:00
2021-04-22T22:30:00+00:00,3.4,23.04.2021 00:30:00
2021-04-23T03:00:00+00:00,4.7,23.04.2021 05:00:00
2021-04-23T15:00:00+00:00,6.3,23.04.2021 17:00:00
2021-04-23T23:30:00+00:00,7.6,24.04.2021 01:30:00
2021-04-24T12:00:00+00:00,9.2,24.04.2021 14:00:00
2021-04-24T19:30:00+00:00,5.8,24.04.2021 21:30:00
2021-04-25T04:30:00+00:00,6.6,25.04.2021 06:30:00
2021-04-25T23:30:00+00:00,3.8,26.04.2021 01:30:00
2021-04-26T09:00:00+00:00,6.3,26.04.2021 11:00:00
2021-04-26T11:30:00+00:00,7.3,26.04.2021 13:30:00
