datum,jahr,monat,frosttag,eistag,sommertag,hitzetag,sonnenlos,regen1,regen2,regen3,schneefall,schneedecke,reif,nebel,gewitter1,gewitter2,hagel,hell,trueb,wind1,wind2,heiztage
1967-05,1967,Mai,0,0,6,1,1,22,17,15,0,0,0,0,5,2.0,1,6,12,,,
1967-03,1967,März,3,0,0,0,6,20,14,11,0,0,6,0,0,0.0,0,5,15,,,
1967-02,1967,Februar,13,0,0,0,2,14,9,8,0,0,10,2,0,0.0,0,6,13,,,
1967-01,1967,Januar,15,7,0,0,13,21,10,8,4,11,7,4,0,0.0,0,2,20,,,
1966-09,1966,September,0,0,7,1,2,11,6,5,0,0,0,13,1,1.0,0,4,9,,,
1966-03,1966,März,11,0,0,0,2,19,14,11,8,1,11,0,0,0.0,1,5,13,,,
1965-12,1965,Dezember,11,0,0,0,13,27,19,19,10,2,4,2,0,0.0,0,1,23,,,
1965-11,1965,November,8,2,0,0,11,26,24,18,10,9,2,3,1,1.0,1,1,15,,,
1965-10,1965,Oktober,1,0,0,0,7,9,6,3,0,0,1,15,0,0.0,0,3,9,,,
1965-09,1965,September,0,0,2,0,6,19,18,15,0,0,0,5,2,2.0,0,2,17,,,
1965-08,1965,August,0,0,14,3,3,16,12,10,0,0,0,0,7,2.0,1,6,8,,,
1965-04,1965,April,1,0,0,0,7,23,20,19,4,0,0,1,3,2.0,1,5,19,,,
1964-02,1964,Februar,13,0,0,0,11,18,12,8,2,1,4,6,0,0.0,0,1,11,,,
1963-05,1963,Mai,0,0,4,0,5,14,13,9,0,0,0,1,3,1.0,0,5,14,,,
1962-09,1962,September,0,0,8,4,3,13,10,6,0,0,0,2,2,2.0,0,6,8,,,
1962-04,1962,April,0,0,3,0,0,13,12,10,4,1,0,0,0,0.0,0,5,13,,,
1962-02,1962,Februar,22,1,0,0,8,13,11,10,8,8,5,1,1,1.0,0,3,16,,,
1961-12,1961,Dezember,17,9,0,0,10,15,14,11,2,4,8,6,1,1.0,0,4,18,,,
1961-08,1961,August,0,0,11,6,1,13,13,9,0,0,0,2,6,1.0,0,10,7,,,
1961-04,1961,April,0,0,3,0,3,21,19,18,0,0,0,3,4,2.0,1,1,15,,,
1961-02,1961,Februar,4,0,0,0,5,14,12,9,2,0,0,8,1,0.0,0,0,11,,,
1960-06,1960,Juni,0,0,15,2,1,12,11,10,0,0,0,0,10,2.0,0,4,8,,,
1960-05,1960,Mai,2,0,7,0,2,13,13,11,0,0,0,1,7,3.0,0,4,8,,,
